year,state,month,number
1998,Acre,Janeiro,0
1999,Acre,Janeiro,0
2000,Acre,Janeiro,0
2001,Acre,Janeiro,0
2002,Acre,Janeiro,0
2003,Acre,Janeiro,10
2004,Acre,Janeiro,0
2005,Acre,Janeiro,12
2006,Acre,Janeiro,4
2007,Acre,Janeiro,0
2008,Acre,Janeiro,0
2009,Acre,Janeiro,0
2010,Acre,Janeiro,1
2011,Acre,Janeiro,0
2012,Acre,Janeiro,0
2013,Acre,Janeiro,0
2014,Acre,Janeiro,0
2015,Acre,Janeiro,1
2016,Acre,Janeiro,12
2017,Acre,Janeiro,0
1998,Acre,Fevereiro,0
1999,Acre,Fevereiro,0
2000,Acre,Fevereiro,0
2001,Acre,Fevereiro,0
2002,Acre,Fevereiro,1
2003,Acre,Fevereiro,0
2004,Acre,Fevereiro,3
2005,Acre,Fevereiro,0
2006,Acre,Fevereiro,0
2007,Acre,Fevereiro,5
